timestamp,ear_ema,mar_ema,pitch,yolo_classes,status_text
1766758080.29365,0.249,0.008,8.98,closed_mouth-closed_eyes,DIKKAT! (Goz Kapandi)
1766758080.3897126,0.247,0.008,9.67,closed_mouth-closed_eyes-closed_eyes,DIKKAT! (Goz Kapandi)
1766758080.4677532,0.244,0.012,9.35,closed_mouth-closed_eyes,DIKKAT! (Goz Kapandi)
1766758080.5592995,0.241,0.017,9.55,closed_mouth-closed_eyes,DIKKAT! (Goz Kapandi)
1766758080.653363,0.242,0.016,9.06,closed_mouth-closed_eyes-closed_eyes,DIKKAT! (Goz Kapandi)
1766758080.7529562,0.242,0.014,9.09,closed_mouth-closed_eyes,DIKKAT! (Goz Kapandi)
1766758080.849024,0.242,0.011,7.97,closed_mouth-closed_eyes-closed_eyes,DIKKAT! (Goz Kapandi)
1766758080.944267,0.238,0.009,8.42,closed_mouth-closed_eyes-closed_eyes,DIKKAT! (Goz Kapandi)
1766758081.0359085,0.236,0.053,8.84,closed_mouth-closed_eyes-closed_eyes,DIKKAT! (Goz Kapandi)
1766758081.129517,0.236,0.039,10.76,closed_mouth-closed_eyes,DIKKAT! (Goz Kapandi)
1766758081.218015,0.237,0.031,10.75,closed_mouth-closed_eyes,DIKKAT! (Goz Kapandi)
1766758081.3185782,0.237,0.039,10.63,closed_mouth-closed_eyes,DIKKAT! (Goz Kapandi)
1766758081.4367263,0.239,0.032,11.49,closed_mouth,NORMAL
1766758081.5599773,0.238,0.037,10.45,closed_mouth-closed_eyes,DIKKAT! (Goz Kapandi)
1766758081.6603024,0.243,0.028,8.08,closed_mouth,NORMAL
1766758081.775957,0.246,0.022,8.01,closed_mouth,NORMAL
1766758081.918612,0.250,0.016,10.13,closed_mouth,NORMAL
1766758082.0322092,0.253,0.036,9.88,closed_mouth,NORMAL
1766758082.1479418,0.258,0.027,11.86,closed_mouth,NORMAL
1766758082.2667375,0.254,0.019,12.41,closed_mouth,NORMAL
1766758082.3634357,0.253,0.015,12.28,closed_mouth,NORMAL
1766758082.4720325,0.251,0.012,12.01,closed_mouth,NORMAL
1766758082.5790782,0.249,0.009,11.85,None,NORMAL
1766758082.6717033,0.245,0.007,12.32,closed_mouth,NORMAL
1766758082.772289,0.245,0.006,11.38,closed_mouth,NORMAL
1766758082.8824158,0.245,0.005,10.14,closed_mouth,NORMAL
1766758082.9985354,0.252,0.004,7.66,closed_mouth,NORMAL
1766758083.1161706,0.257,0.004,7.13,closed_mouth,NORMAL
1766758083.2262733,0.269,0.003,6.54,closed_mouth-open_eyes,NORMAL
1766758083.3401408,0.269,0.003,8.31,closed_mouth,NORMAL
1766758083.4527285,0.267,0.003,7.32,closed_mouth,NORMAL
1766758083.5462816,0.267,0.003,7.61,closed_mouth,NORMAL
1766758083.6616116,0.267,0.005,7.73,closed_mouth-open_eyes,NORMAL
1766758083.7532697,0.268,0.005,7.18,closed_mouth,NORMAL
1766758083.8478866,0.270,0.005,7.33,closed_mouth,NORMAL
1766758083.9485838,0.269,0.020,7.28,closed_mouth-open_eyes,NORMAL
1766758084.050231,0.267,0.016,7.55,closed_mouth,NORMAL
1766758084.149519,0.267,0.029,6.79,closed_mouth,NORMAL
1766758084.2286127,0.266,0.052,6.63,closed_mouth,NORMAL
1766758084.3219543,0.264,0.068,6.74,closed_mouth,NORMAL
